Year,Month,resid_sales,resid_count,resid_np,comm_sales,comm_count,comm_np,CPI,County,Population,resid_pc,comm_pc,resid_rp,comm_rp
2001,3,3236920.0,,5.71,2009925.0,,5.61,176.2,State,5974910,0.5417520933369707,0.33639418836434354,3.240635641316686,3.1838819523269017
2001,4,2853568.0,,5.72,1919974.0,,5.39,176.9,State,5974910,0.4775917963617862,0.32133940092821484,3.2334652345958164,3.046919163369135
2001,5,2438889.0,,5.74,1918473.0,,5.34,177.7,State,5974910,0.4081884078588631,0.3210881837550691,3.2301631963984243,3.0050647158131683
2001,6,2063708.0,,5.67,1950329.0,,5.12,178.0,State,5974910,0.34539566286354106,0.32641981218127136,3.1853932584269664,2.8764044943820224
2001,7,1921028.0,,5.64,1856451.0,,5.23,177.5,State,5974910,0.32151580525899137,0.310707776351443,3.177464788732394,2.946478873239437
2001,8,1865398.0,,5.87,1946768.0,,5.15,177.5,State,5974910,0.31220520476459057,0.32582381994038406,3.307042253521127,2.9014084507042255
2001,9,1806901.0,,5.79,1847448.0,,5.47,178.3,State,5974910,0.3024147644064932,0.30920097541218194,3.2473359506449797,3.067863151991026
2001,10,2097075.0,,5.82,1989682.0,,5.55,177.7,State,5974910,0.35098018212826637,0.3330061875409002,3.2751828925154762,3.1232414181204278
2001,11,2516474.0,,6.14,1831887.0,,6.17,177.4,State,5974910,0.42117354068931584,0.30659658471843093,3.461104847801578,3.4780157835400227
2001,12,3280096.0,,6.23,2158805.0,,5.97,176.7,State,5974910,0.5489783109703744,0.36131171850287286,3.5257498585172615,3.3786078098471983
2002,1,3709947.0,,6.34,2194472.0,,6.08,177.1,State,6041710,0.6140557888412387,0.36322034655751434,3.5798983625070586,3.433088650479955
2002,2,3571474.0,,6.31,2131203.0,,6.22,177.8,State,6041710,0.5911362842638922,0.3527483113224567,3.5489313835770524,3.4983127109111356
2002,3,3499624.0,,6.31,2083915.0,,6.26,178.8,State,6041710,0.5792439557674897,0.34492138815004364,3.5290827740492166,3.5011185682326618
2002,4,2916128.0,,6.3,1956914.0,,6.19,179.8,State,6041710,0.4826660001886883,0.32390068374682,3.503893214682981,3.442714126807564
2002,5,2495968.0,,6.39,1899257.0,,6.05,179.8,State,6041710,0.4131227748435459,0.31435752460809935,3.5539488320355943,3.3648498331479417
2002,6,2100651.0,,6.39,1889918.0,,6.06,179.9,State,6041710,0.34769146483363156,0.3128117701776484,3.5519733185102833,3.368538076709283
2002,7,2017504.0,,6.31,1999365.0,,5.83,180.1,State,6041710,0.3339293014725963,0.3309270057649242,3.5036091060521932,3.237090505274848
2002,8,1896980.0,,6.33,2009538.0,,5.93,180.7,State,6041710,0.31398064455261837,0.3326108005846027,3.5030437188710573,3.281682346430548
2002,9,1902357.0,,6.22,1991841.0,,6.04,181.0,State,6041710,0.3148706243762114,0.3296816629729001,3.43646408839779,3.3370165745856357
2002,10,2114791.0,,6.24,1980586.0,,6.2,181.3,State,6041710,0.3500318618404392,0.32781877978254503,3.44180915609487,3.419746276889134
2002,11,2626308.0,,6.18,1987075.0,,6.3,181.3,State,6041710,0.4346961373518424,0.3288928134584414,3.4087148372862655,3.474903474903475
2002,12,3214265.0,,6.19,2185548.0,,6.14,180.9,State,6041710,0.5320124600485624,0.3617432812895687,3.4217799889441682,3.3941404090657814
2003,1,3454000.0,,6.21,2422080.0,,6.15,181.7,State,6098300,0.5663873538527131,0.3971729826345047,3.4177215189873418,3.3847000550357733
2003,2,3255427.0,,6.23,2469774.0,,5.98,183.1,State,6098300,0.5338253283702016,0.40499385074528965,3.4025122883670127,3.26597487711633
2003,3,3240061.0,,6.24,2343514.0,,6.15,184.2,State,6098300,0.5313056097600971,0.3842897200859256,3.387622149837134,3.3387622149837135
2003,4,2921734.0,,6.3,2248986.0,,6.1,183.8,State,6098300,0.47910630831543216,0.3687890067723792,3.427638737758433,3.3188248095756254
2003,5,2415608.0,,6.34,2125565.0,,5.96,183.5,State,6098300,0.3961117032615647,0.3485504156896184,3.4550408719346044,3.2479564032697548
2003,6,2184604.0,,6.36,2314296.0,,5.94,183.7,State,6098300,0.358231638325435,0.37949854877588834,3.462166575939032,3.2335329341317367
2003,7,2105028.0,,6.37,2282612.0,,5.99,183.9,State,6098300,0.345182755849991,0.3743030024760999,3.463839042958129,3.2572050027188686
2003,8,1946369.0,,6.36,2323967.0,,5.96,184.6,State,6098300,0.31916583310102814,0.38108440057065085,3.445287107258938,3.228602383531961
2003,9,1943667.0,,6.37,2358302.0,,6.0,185.2,State,6098300,0.31872275880163325,0.38671465818342815,3.439524838012959,3.2397408207343417
2003,10,2124857.0,,6.34,2287415.0,,6.13,185.0,State,6098300,0.3484343177606874,0.37509059901939884,3.427027027027027,3.3135135135135134
2003,11,2694690.0,,6.26,2338061.0,,6.22,184.5,State,6098300,0.44187560467671316,0.38339553646098096,3.3929539295392956,3.3712737127371275
2003,12,3586000.0,,6.41,2524752.0,,6.21,184.3,State,6098300,0.5880327304330715,0.41400915009100897,3.47802495930548,3.3695062398263698
2004,1,3983103.0,,6.34,2451311.0,,6.35,185.2,State,6167800,0.6457899088816109,0.39743684944388596,3.423326133909287,3.4287257019438444
2004,2,3395279.0,,6.62,2489422.0,,6.24,186.2,State,6167800,0.5504846136385745,0.40361587600116733,3.5553168635875405,3.3512352309344795
2004,3,3410729.0,,6.31,2420958.0,,6.22,187.4,State,6167800,0.5529895586757029,0.39251564577320924,3.3671291355389537,3.3191035218783345
2004,4,2714465.0,,6.27,2248773.0,,6.1,188.0,State,6167800,0.4401026297869581,0.36459888452932976,3.335106382978723,3.2446808510638294
2004,5,2211735.0,,6.28,2151824.0,,6.0,189.1,State,6167800,0.35859382599954603,0.34888031388825835,3.320994182971973,3.172924378635643
2004,6,2149006.0,,6.34,2238897.0,,6.07,189.7,State,6167800,0.34842342488407535,0.362997665293946,3.3421191354770694,3.1997891407485506
2004,7,2094004.0,,6.34,2354748.0,,6.02,189.4,State,6167800,0.3395058205518986,0.38178086189565164,3.3474128827877507,3.178458289334741
2004,8,2115451.0,,6.37,2446669.0,,6.11,189.5,State,6167800,0.34298307338110834,0.39668423100619343,3.361477572559367,3.2242744063324538
2004,9,2024063.0,,6.35,2302440.0,,6.12,189.9,State,6167800,0.3281661208210383,0.37330004215441487,3.343865192206424,3.2227488151658767
2004,10,2195499.0,,6.51,2325436.0,,6.12,190.9,State,6167800,0.3559614449236357,0.3770284380167969,3.410162388685175,3.2058669460450497
2004,11,2716923.0,,6.32,2276602.0,,6.36,191.0,State,6167800,0.44050115113979055,0.3691108661110931,3.30890052356021,3.329842931937173
2004,12,3444426.0,,6.4,2518707.0,,6.33,190.3,State,6167800,0.5584529329744804,0.40836392230617075,3.3631108775617444,3.3263268523384126
2005,1,3924881.0,,6.46,2487587.0,,6.32,190.7,State,6256400,0.6273385653091235,0.39760677066683714,3.3875196643943366,3.314105925537494
2005,2,3471184.0,,6.43,2381715.0,,6.43,191.8,State,6256400,0.5548213029857426,0.3806845789911131,3.35245046923879,3.35245046923879
2005,3,3312049.0,,6.42,2298942.0,,6.39,193.3,State,6256400,0.5293857489930311,0.36745444664663385,3.321262286601138,3.3057423693740295
2005,4,2852429.0,,6.53,2310730.0,,6.35,194.6,State,6256400,0.4559217761012723,0.36933859727638896,3.355601233299075,3.263103802672148
2005,5,2373976.0,,6.55,2138627.0,,6.23,194.4,State,6256400,0.37944760565181257,0.34183028578735375,3.369341563786008,3.2047325102880655
2005,6,2186808.0,,6.6,2247160.0,,6.25,194.5,State,6256400,0.34953135988747525,0.3591778019308228,3.3933161953727504,3.2133676092544987
